18299758/619654430657392640: 15012486/619649868248809472
2868108708/619653738689622017: 1267406808/619653237843591168
126971262/619653642925125632: 8936082/619634917832544256
770545/619651386620399616: 2696950669/619651191081832448
19468168/619651318823546881: 3301372685/619643882658095104
886491/619651255376347136: 6655612/None
913560643/619651025406799873: 15012486/619649868248809472
122273699/619650878996242432: 21272440/619616289095598080
544733369/619650162928025600: 1068831/None
228300392/619650153130106881: 890268680/619650006702669824
409183088/619649218442063872: 49973657/None
371427945/619648960156663808: 14185671/None
241662924/619648079197663232: 18856867/619647712351416320
2884551132/619648037929902080: 3338262435/None
34447217/619648012785094656: 177622510/619644186543783936
3296636651/619647889212620801: 3296636651/619573972527644674
3296636651/619647803288064000: 3296636651/619642082379087872
3296636651/619647773646942209: 3296636651/619647352412966912
2243720664/619647649172598784: 627695524/None
271054072/619647395941494784: 104487298/619647249300197376
734197130/619647340899647488: 333734966/619638363746766849
1544425242/619646987764371456: 149913262/619643967567589376
2835958435/619646674370105344: 18783993/619618035008204802
3437541/619646489606946821: 1028811/619645561852006404
58101133/619646319422877696: 58101133/619612895740063744
14265924/619646225382567936: 2862243052/619643199120932864
18593435/619645814994939905: 160123057/619628787643322373
231132749/619645671239454722: 231132749/619645408281624576
2862243052/619645572874661889: 14834340/619644769267007489
2920046630/619645535188746240: 18816166/619617246231592961
2897907727/619645159341359104: 18783993/619618035008204802
355007450/619644431361142784: 2740475695/None
2253460652/619643965919236097: 2253460652/None
18487874/619643245744758784: 126030998/619643041687732224
317949173/619643058854825984: 1948043011/619642317625028609
126030998/619643041687732224: 18487874/619642888583049216
1222903296/619642988067590148: 1344951/None
391759144/619642981792911360: 1344951/None
468531094/619642739462930432: 468531094/None
1091201664/619642720345300992: 1020058453/619641953257287680
176898389/619642701760331776: 468531094/None
2696950669/619642468280107008: 168805641/619633671448858625
61801747/619642273391771648: 249346453/619631553061097473
34447217/619642019426648064: 34447217/619641842993270784
930938994/619641684989579264: 2544129398/None
2996462987/619641625753559040: 16064701/None
25143672/619641265764855808: 2922056702/619640394817536000
129046320/619641236484296704: 129046320/619640413423415296
177622510/619641123313586176: 34447217/619640795444834304
208397722/619640897207160832: 305928252/None
2833719035/619640763803172864: 2833719035/619640525361184773
355007450/619640747340382208: 2740475695/None
188215370/619640692755841024: 1178882917/619640264345407488
70335795/619640314672861184: 2421423498/None
70335795/619640313422983168: 2421423498/None
70335795/619640312307298304: 2421423498/None
3368290077/619640140571508736: 148900525/619637224137584644
234541181/619639827080814592: 2802424662/619639029634502660
1382371712/619639794218369024: 1382371712/None
438994889/619639208404058113: 414141288/619638400958664704
38169764/619639172156882944: 106392661/None
3004046949/619639168004661252: 23542279/619637320451518465
333748468/619639104720887808: 807095/619638518147588096
102455152/619639015294304256: 1260354876/None
3437541/619638935904481281: 811377/None
52858939/619638694786564097: 275686563/None
168754949/619638586615332864: 17097703/619633949497626624
1222903296/619638522488623104: 972651/None
2490206354/619638025576804354: 2490206354/619595642734690305
25143672/619637859436351489: 65375759/619627862304391169
281202642/619637635087245312: 807095/619617591422779392
59918615/619637577704992768: 14293310/619636489220173824
2827509775/619637505898381312: 2827509775/None
26721993/619637209034039296: 28671535/619391580118495232
218338138/619636965848281089: 573918122/619634782356377600
2779948963/619636933740748800: 846667518/619636844758564864
138526255/619636913192964096: 49413866/619636830166585348
398354028/619636877994405888: 398354028/619636712843706368
236058338/619636604513038336: 177422934/None
177422934/619636594996219905: 177422934/None
811747524/619636585026334720: 177422934/None
567281967/619636565225029632: 177422934/None
2758836630/619636343648358400: 1020058453/619625270534926336
200950703/619635442854420481: 19521481/619623072258228224
468531094/619635337850175488: 468531094/None
176898389/619635030646763520: 468531094/None
71287667/619634929681473536: 149913262/None
224120074/619634809527214080: 25246881/None
2999746443/619634679851917313: 25143672/619633726071406594
21271252/619634642539286528: 18510860/619634332248899584
2651162580/619634588478865408: 2765738045/619633408768122880
599739089/619634285889355776: 342251338/619625703206588416
21271252/619634267811811329: 24622734/619632545173499904
3247885679/619634001855315968: 636511384/None
17097703/619633949497626624: 17097703/619623165862359040
145064908/619633770782662656: 757365218/619630381055217664
2862243052/619633677430075392: 12371632/619632824140828672
2242878637/619633613944938496: 312426579/619631975679176704
579914014/619633485897146368: 20562637/619632000899633152
73402240/619633398085107712: 11818292/None
34196562/619633159194472448: 5392522/619628954165510144
7129522/619633146481524736: 16282330/619626399314386944
569699513/619633045004492800: 1433903737/619632281842503681
117726840/619632718507307009: 123434827/None
